v1300,,,,,,,,,,,,,,,,,,,,,,,,,,
商品ID,バリエーションID,削除設定 ※削除の場合のみ入力,カテゴリーID,【必須】商品名 ※49文字,商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。,商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。,バリエーション（種別1） ※32文字,バリエーション（種別2） ※32文字,税設定 ※「外税」「内税」のいずれかを入力,適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力,税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力,価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力,販売単位ID,【必須】価格 ※半角数字,価格2 ※税率別に価格を指定する場合に入力,原価 ※半角数字,商品コード ※24文字,自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。,バーコード,ポイント付与対象 ※「対象」「対象外」のいずれかを入力,表示/非表示 ※「表示」「非表示」のいずれかを入力,レシート印字設定 ※「印字する」「印字しない」のいずれかを入力,登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力,備考 ※1000文字,旧商品コード ※通常入力しません,分析タグID ※通常入力しません
,,,7,昼のみセット,昼のみセット,昼のみセット,,,内税,標準税率,,通常,,1360,,,,,,対象,表示,印字する,印字する,,,
,,,7,小鉢,小鉢,小鉢,1種,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,7,小鉢,小鉢,小鉢,2種,,内税,標準税率,,通常,,440,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,発酵春巻き,,内税,標準税率,,通常,,400,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,塩麹ローストポーク,,内税,標準税率,,通常,,780,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,アジフライのぬか漬けタルタル,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,甘エビの唐揚げ,,内税,標準税率,,通常,,680,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,しゅうまい,,内税,標準税率,,通常,,680,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,かぶとりんごの塩麹ヨーグルトサラダ,,内税,標準税率,,通常,,480,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,蒸し鶏のぬか漬けタルタル,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,7,本日の一品,本日の一品,本日の一品,きゅうりのピリ辛味噌ディップ,,内税,標準税率,,通常,,430,,,,,,対象,表示,印字する,印字する,,,
,,,8,煮卵,煮卵,煮卵,,,内税,標準税率,,通常,,180,,,,,,対象,表示,印字する,印字する,,,
,,,8,ネギ増し,ネギ増し,ネギ増し,,,内税,標準税率,,通常,,190,,,,,,対象,表示,印字する,印字する,,,
,,,8,チーズ,チーズ,チーズ,,,内税,標準税率,,通常,,290,,,,,,対象,表示,印字する,印字する,,,
,,,8,肉味噌,肉味噌,肉味噌,,,内税,標準税率,,通常,,270,,,,,,対象,表示,印字する,印字する,,,
,,,8,肉増し,肉増し,肉増し,,,内税,標準税率,,通常,,440,,,,,,対象,表示,印字する,印字する,,,
,,,8,バター,バター,バター,,,内税,標準税率,,通常,,200,,,,,,対象,表示,印字する,印字する,,,
,,,8,生玉子,生玉子,生玉子,,,内税,標準税率,,通常,,80,,,,,,対象,表示,印字する,印字する,,,
,,,8,海苔,海苔,海苔,,,内税,標準税率,,通常,,280,,,,,,対象,表示,印字する,印字する,,,
,,,8,グルテンフリー麺,グルテンフリー麺,グルテンフリー麺,,,内税,標準税率,,通常,,420,,,,,,対象,表示,印字する,印字する,,,
,,,8,油そばトッピング,油そばトッピング,油そばトッピング,,,内税,標準税率,,通常,,50,,,,,,対象,表示,印字する,印字する,,,
,,,8,トッピング4種,トッピング4種,トッピング4種,,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,8,ミニアイス,ミニアイス,ミニアイス,,,内税,標準税率,,通常,,110,,,,,,対象,表示,印字する,印字する,,,
,,,8,ソイミルク,ソイミルク,ソイミルク,,,内税,標準税率,,通常,,100,,,,,,対象,表示,印字する,印字する,,,
,,,8,辛増し,辛増し,辛増し,2~5辛,,内税,標準税率,,通常,,100,,,,,,対象,表示,印字する,印字する,,,
,,,8,辛増し,辛増し,辛増し,6~10辛,,内税,標準税率,,通常,,200,,,,,,対象,表示,印字する,印字する,,,
,,,8,辛増し,辛増し,辛増し,ランチ辛増し,,内税,標準税率,,通常,,130,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールドラフト,箕面ビールドラフト,箕面ビールドラフト,定番M,,内税,標準税率,,通常,,780,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールドラフト,箕面ビールドラフト,箕面ビールドラフト,定番L,,内税,標準税率,,通常,,1180,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールドラフト,箕面ビールドラフト,箕面ビールドラフト,限定M,,内税,標準税率,,通常,,880,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールドラフト,箕面ビールドラフト,箕面ビールドラフト,限定L,,内税,標準税率,,通常,,1330,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールボトル,箕面ビールボトル,箕面ビールボトル,定番,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールボトル,箕面ビールボトル,箕面ビールボトル,限定,,内税,標準税率,,通常,,950,,,,,,対象,表示,印字する,印字する,,,
,,,2,箕面ビールボトル,箕面ビールボトル,箕面ビールボトル,W-IPA,,内税,標準税率,,通常,,1100,,,,,,対象,表示,印字する,印字する,,,
,,,2,オリぜドラフト,オリぜドラフト,オリぜドラフト,樽生M,,内税,標準税率,,通常,,1080,,,,,,対象,表示,印字する,印字する,,,
,,,2,オリぜドラフト,オリぜドラフト,オリぜドラフト,樽生L,,内税,標準税率,,通常,,1870,,,,,,対象,表示,印字する,印字する,,,
,,,2,ハッピーアワー,ハッピーアワー,ハッピーアワー,ビール,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ハッピーアワー,ハッピーアワー,ハッピーアワー,秋鹿,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ハッピーアワー,ハッピーアワー,ハッピーアワー,秋鹿ハイボール,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ハッピーアワー,ハッピーアワー,ハッピーアワー,ワイン,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ちょい飲みおかわり,ちょい飲みおかわり,ちょい飲みおかわり,ビール,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ちょい飲みおかわり,ちょい飲みおかわり,ちょい飲みおかわり,秋鹿,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ちょい飲みおかわり,ちょい飲みおかわり,ちょい飲みおかわり,秋鹿ハイボール,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,ちょい飲みおかわり,ちょい飲みおかわり,ちょい飲みおかわり,ワイン,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,2,オリぜボトル,オリぜボトル,オリぜボトル,,,内税,標準税率,,通常,,1180,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,純米各種1合,,内税,標準税率,,通常,,980,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,純米大吟醸1合,,内税,標準税率,,通常,,1720,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,熟成酒・限定酒1合,,内税,標準税率,,通常,,1220,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,純米各種2合,,内税,標準税率,,通常,,1960,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,純米大吟醸2合,,内税,標準税率,,通常,,3440,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿,秋鹿,秋鹿,熟成酒・限定酒2合,,内税,標準税率,,通常,,2440,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿飲み比べ,秋鹿飲み比べ,秋鹿飲み比べ,30mL,,内税,標準税率,,通常,,1000,,,,,,対象,表示,印字する,印字する,,,
,,,3,秋鹿飲み比べ,秋鹿飲み比べ,秋鹿飲み比べ,60mL,,内税,標準税率,,通常,,1680,,,,,,対象,表示,印字する,印字する,,,
,,,3,ハイボール,ハイボール,ハイボール,秋鹿ハイボール,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,3,ハイボール,ハイボール,ハイボール,シロップハイボール,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,3,ハイボール,ハイボール,ハイボール,レモンハイボール,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,3,りんごカクテル,りんごカクテル,りんごカクテル,,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,3,りんごと熱燗,りんごと熱燗,りんごと熱燗,,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,4,一升瓶ワイン,一升瓶ワイン,一升瓶ワイン,赤,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,4,一升瓶ワイン,一升瓶ワイン,一升瓶ワイン,白,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,4,ボトルワイン,ボトルワイン,ボトルワイン,醸し甲州,,内税,標準税率,,通常,,4980,,,,,,対象,表示,印字する,印字する,,,
,,,4,ボトルワイン,ボトルワイン,ボトルワイン,若生果樹園,,内税,標準税率,,通常,,4800,,,,,,対象,表示,印字する,印字する,,,
,,,4,ボトルワイン,ボトルワイン,ボトルワイン,甲州百(赤),,内税,標準税率,,通常,,3700,,,,,,対象,表示,印字する,印字する,,,
,,,4,ボトルワイン,ボトルワイン,ボトルワイン,甲州百(白),,内税,標準税率,,通常,,3700,,,,,,対象,表示,印字する,印字する,,,
,,,5,ジンジャーエール,ジンジャーエール,ジンジャーエール,,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,5,とよのサイダー,とよのサイダー,とよのサイダー,,,内税,標準税率,,通常,,610,,,,,,対象,表示,印字する,印字する,,,
,,,5,ミネラルソーダ,ミネラルソーダ,ミネラルソーダ,,,内税,標準税率,,通常,,480,,,,,,対象,表示,印字する,印字する,,,
,,,5,りんごジュース,りんごジュース,りんごジュース,,,内税,標準税率,,通常,,680,,,,,,対象,表示,印字する,印字する,,,
,,,5,自家製シロップソーダ,自家製シロップソーダ,自家製シロップソーダ,,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
